Cycle,Time,Time(ns),Q1,Q2,T1,T2
0,0.0,1683897496667907100,0.0,0,21.156,20.576
0,1.0,1683897497668380500,0.0,0,21.221,20.576
0,2.0,1683897498668677300,0.0,0,21.221,20.576
0,3.0,1683897499669122300,0.0,0,21.188,20.576
0,4.0,1683897500669525700,0.0,0,21.221,20.576
0,5.0,1683897501669612500,0.0,0,21.221,20.576
0,6.0,1683897502669890500,0.0,0,21.221,20.576
0,7.0,1683897503670194700,0.0,0,21.221,20.576
0,8.0,1683897504670916400,0.0,0,21.221,20.576
0,9.0,1683897505671881300,0.0,0,21.156,20.576
0,10.0,1683897506671891000,0.0,0,21.188,20.576
0,11.0,1683897507672280000,0.0,0,21.221,20.576
0,12.0,1683897508673131600,0.0,0,21.188,20.576
0,13.0,1683897509673244500,0.0,0,21.188,20.576
0,14.0,1683897510673738700,0.0,0,21.188,20.576
0,15.0,1683897511674290600,0.0,0,21.221,20.576
0,16.0,1683897512674701200,0.0,0,21.221,20.576
0,17.0,1683897513675519300,0.0,0,21.188,20.576
0,18.0,1683897514675970800,0.0,0,21.221,20.576
0,19.0,1683897515676875800,0.0,0,21.221,20.576
0,20.0,1683897516677730000,0.0,0,21.221,20.576
0,21.0,1683897517677739300,100.0,0,21.221,20.576
0,22.0,1683897518678508700,100.0,0,21.221,20.576
0,23.0,1683897519679027900,100.0,0,21.221,20.576
0,24.0,1683897520679413100,100.0,0,21.221,20.576
0,25.0,1683897521679911500,100.0,0,21.221,20.576
0,26.0,1683897522680614900,100.0,0,21.221,20.576
0,27.0,1683897523681442100,100.0,0,21.221,20.576
0,28.0,1683897524682152700,100.0,0,21.446,20.576
0,29.0,1683897525682598500,100.0,0,21.543,20.576
0,30.0,1683897526683499500,100.0,0,21.575,20.576
0,31.0,1683897527684396300,100.0,0,21.865,20.576
0,32.0,1683897528684808200,100.0,0,21.93,20.576
0,33.0,1683897529684900600,100.0,0,22.188,20.576
0,34.0,1683897530685277600,100.0,0,22.51,20.576
0,35.0,1683897531686212600,100.0,0,22.606,20.576
0,36.0,1683897532686877200,100.0,0,22.864,20.576
0,37.0,1683897533687817100,100.0,0,23.154,20.576
0,38.0,1683897534687993400,100.0,0,23.477,20.576
0,39.0,1683897535688320400,100.0,0,23.799,20.576
0,40.0,1683897536688460500,100.0,0,24.121,20.576
0,41.0,1683897537688747300,100.0,0,24.443,20.608
0,42.0,1683897538689683800,100.0,0,24.766,20.576
0,43.0,1683897539689753500,100.0,0,25.088,20.608
0,44.0,1683897540690373900,100.0,0,25.41,20.608
0,45.0,1683897541690545600,100.0,0,25.732,20.673
0,46.0,1683897542691540600,100.0,0,26.055,20.802
0,47.0,1683897543692081600,100.0,0,26.377,20.834
0,48.0,1683897544692842100,100.0,0,26.699,20.898
0,49.0,1683897545693634600,100.0,0,27.021,20.898
0,50.0,1683897546694258700,100.0,0,27.344,20.898
0,51.0,1683897547694519900,100.0,0,27.666,20.898
0,52.0,1683897548695506900,100.0,0,28.053,20.898
0,53.0,1683897549696260300,100.0,0,28.504,20.898
0,54.0,1683897550696522700,100.0,0,28.923,20.898
0,55.0,1683897551696642900,100.0,0,29.277,20.931
0,56.0,1683897552696748000,100.0,0,29.6,20.995
0,57.0,1683897553696956200,100.0,0,29.922,21.156
0,58.0,1683897554697259700,100.0,0,30.534,21.188
0,59.0,1683897555697746600,100.0,0,30.889,21.221
0,60.0,1683897556698234600,100.0,0,31.114,21.221
0,61.0,1683897557698526400,100.0,0,31.501,21.221
0,62.0,1683897558699292800,100.0,0,31.855,21.221
0,63.0,1683897559699402000,100.0,0,32.178,21.221
0,64.0,1683897560699959100,100.0,0,32.5,21.382
0,65.0,1683897561700176800,100.0,0,32.822,21.543
0,66.0,1683897562700463200,100.0,0,33.338,21.543
0,67.0,1683897563700912800,100.0,0,33.789,21.543
0,68.0,1683897564701056800,100.0,0,34.111,21.543
0,69.0,1683897565701116800,100.0,0,34.434,21.607
0,70.0,1683897566701225700,100.0,0,34.788,21.865
0,71.0,1683897567701292000,100.0,0,35.207,21.865
0,72.0,1683897568702100600,100.0,0,35.69,21.865
0,73.0,1683897569702967400,100.0,0,36.045,21.865
0,74.0,1683897570703640800,100.0,0,36.367,21.865
0,75.0,1683897571704060900,100.0,0,36.689,22.155
0,76.0,1683897572704610600,100.0,0,37.27,22.188
0,77.0,1683897573704979400,100.0,0,37.656,22.188
0,78.0,1683897574709447500,100.0,0,37.979,22.188
0,79.0,1683897575710053700,100.0,0,38.14,22.284
0,80.0,1683897576710102200,100.0,0,38.301,22.51
0,81.0,1683897577710232600,100.0,0,38.623,22.51
0,82.0,1683897578710977600,100.0,0,38.945,22.51
0,83.0,1683897579711657800,100.0,0,39.3,22.542
0,84.0,1683897580711720300,100.0,0,39.848,22.832
0,85.0,1683897581712097700,100.0,0,40.234,22.832
0,86.0,1683897582713064200,100.0,0,40.557,22.832
0,87.0,1683897583713702600,100.0,0,40.879,22.864
0,88.0,1683897584714537800,100.0,0,41.201,23.09
0,89.0,1683897585715127300,100.0,0,41.523,23.154
0,90.0,1683897586715910900,100.0,0,41.846,23.154
0,91.0,1683897587716160300,100.0,0,42.265,23.283
0,92.0,1683897588716904000,100.0,0,42.748,23.477
0,93.0,1683897589717375000,100.0,0,43.103,23.477
0,94.0,1683897590717775200,100.0,0,43.425,23.541
0,95.0,1683897591718678900,100.0,0,43.747,23.799
0,96.0,1683897592719584400,100.0,0,44.102,23.799
0,97.0,1683897593719646400,100.0,0,44.424,23.799
0,98.0,1683897594719803200,100.0,0,44.746,24.121
0,99.0,1683897595720539000,100.0,0,45.068,24.121
0,100.0,1683897596720917600,100.0,0,45.391,24.153
0,101.0,1683897597721899000,0.0,0,45.713,24.443
0,102.0,1683897598722267300,0.0,0,46.035,24.443
0,103.0,1683897599723019700,0.0,0,46.357,24.443
0,104.0,1683897600723881100,0.0,0,46.68,24.733
0,105.0,1683897601723921500,0.0,0,46.841,24.766
0,106.0,1683897602724371300,0.0,0,47.002,24.766
0,107.0,1683897603725090700,0.0,0,47.324,25.088
0,108.0,1683897604725308600,0.0,0,47.646,25.088
0,109.0,1683897605725810300,0.0,0,47.646,25.152
0,110.0,1683897606726094400,0.0,0,47.937,25.41
0,111.0,1683897607726437100,0.0,0,47.969,25.41
0,112.0,1683897608726764100,0.0,0,48.033,25.668
0,113.0,1683897609727321100,0.0,0,48.291,25.732
0,114.0,1683897610727484000,0.0,0,48.291,25.732
0,115.0,1683897611728136500,0.0,0,48.291,26.055
0,116.0,1683897612728968200,0.0,0,48.291,26.055
0,117.0,1683897613729852200,0.0,0,48.42,26.055
0,118.0,1683897614730488400,0.0,0,48.42,26.28
0,119.0,1683897615730963500,0.0,0,48.452,26.377
0,120.0,1683897616731075400,0.0,0,48.291,26.377
0,121.0,1683897617731090700,0.0,0,48.291,26.699
0,122.0,1683897618731595300,0.0,0,48.065,26.699
0,123.0,1683897619732134000,0.0,0,48.291,26.699
0,124.0,1683897620732549200,0.0,0,48.291,26.86
0,125.0,1683897621733550000,0.0,0,48.291,27.021
0,126.0,1683897622733572300,0.0,0,48.001,27.021
0,127.0,1683897623733734000,0.0,0,47.969,27.118
0,128.0,1683897624734531900,0.0,0,47.969,27.344
0,129.0,1683897625734991400,0.0,0,47.904,27.344
0,130.0,1683897626735202400,0.0,0,47.646,27.344
0,131.0,1683897627735685600,0.0,0,47.646,27.602
0,132.0,1683897628736652700,0.0,0,47.614,27.666
0,133.0,1683897629737481900,0.0,0,47.324,27.666
0,134.0,1683897630738121000,0.0,0,47.324,27.666
0,135.0,1683897631738637400,0.0,0,47.195,27.956
0,136.0,1683897632738846200,0.0,0,47.002,27.988
0,137.0,1683897633739234500,0.0,0,47.002,27.988
0,138.0,1683897634739260500,0.0,0,46.68,27.988
0,139.0,1683897635740228500,0.0,0,46.68,28.214
0,140.0,1683897636740712300,0.0,0,46.647,28.311
0,141.0,1683897637741218300,0.0,0,46.357,28.311
0,142.0,1683897638741340800,0.0,0,46.357,28.311
0,143.0,1683897639741991300,0.0,0,46.035,28.375
0,144.0,1683897640742310200,0.0,0,46.035,28.633
0,145.0,1683897641743061800,0.0,0,45.713,28.633
0,146.0,1683897642743763800,0.0,0,45.713,28.633
0,147.0,1683897643744734900,0.0,0,45.52,28.633
0,148.0,1683897644744997800,0.0,0,45.391,28.633
0,149.0,1683897645745813700,0.0,0,45.326,28.891
0,150.0,1683897646746171100,0.0,0,45.068,28.955
0,151.0,1683897647746277100,0.0,0,45.036,28.955
0,152.0,1683897648747149000,0.0,0,44.746,28.955
0,153.0,1683897649748046100,0.0,0,44.746,28.955
0,154.0,1683897650749000400,0.0,0,44.424,28.955
0,155.0,1683897651749467900,0.0,0,44.424,29.116
0,156.0,1683897652750107600,0.0,0,44.102,29.277
0,157.0,1683897653751030300,0.0,0,44.102,29.277
0,158.0,1683897654751033300,0.0,0,43.844,29.277
0,159.0,1683897655751929200,0.0,0,43.779,29.277
0,160.0,1683897656751968900,0.0,0,43.586,29.277
0,161.0,1683897657752758900,0.0,0,43.457,29.277
0,162.0,1683897658753069100,0.0,0,43.425,29.277
0,163.0,1683897659753804400,0.0,0,43.135,29.471
0,164.0,1683897660754248500,0.0,0,43.135,29.6
0,165.0,1683897661754248700,0.0,0,42.813,29.6
0,166.0,1683897662754568300,0.0,0,42.813,29.6
0,167.0,1683897663755334900,0.0,0,42.651,29.6
0,168.0,1683897664755513100,0.0,0,42.49,29.6
0,169.0,1683897665755791100,0.0,0,42.49,29.6
0,170.0,1683897666756208300,0.0,0,42.168,29.6
0,171.0,1683897667757095500,0.0,0,42.168,29.6
0,172.0,1683897668757453500,0.0,0,41.846,29.6
0,173.0,1683897669757912800,0.0,0,41.846,29.6
0,174.0,1683897670758851900,0.0,0,41.749,29.696
0,175.0,1683897671758857600,0.0,0,41.523,29.729
0,176.0,1683897672759075000,0.0,0,41.523,29.793
0,177.0,1683897673759473000,0.0,0,41.201,29.922
0,178.0,1683897674759765500,0.0,0,41.201,29.922
0,179.0,1683897675760373000,0.0,0,41.072,29.922
0,180.0,1683897676761289400,0.0,0,40.879,29.922
0,181.0,1683897677762197700,0.0,0,40.847,29.922
0,182.0,1683897678762871800,0.0,0,40.557,29.922
0,183.0,1683897679763545400,0.0,0,40.557,29.922
0,184.0,1683897680764494000,0.0,0,40.267,29.922
0,185.0,1683897681764810700,0.0,0,40.234,29.922
0,186.0,1683897682765077800,0.0,0,40.234,29.922
0,187.0,1683897683766026100,0.0,0,39.912,29.922
0,188.0,1683897684766028600,0.0,0,39.912,29.922
0,189.0,1683897685766558100,0.0,0,39.751,29.922
0,190.0,1683897686767355400,0.0,0,39.59,29.922
0,191.0,1683897687767917400,0.0,0,39.59,29.922
0,192.0,1683897688768431200,0.0,0,39.268,29.922
0,193.0,1683897689768698600,0.0,0,39.268,29.922
0,194.0,1683897690769481300,0.0,0,39.235,29.922
0,195.0,1683897691769867600,0.0,0,38.945,29.922
0,196.0,1683897692770723500,0.0,0,38.945,29.922
0,197.0,1683897693771023900,0.0,0,38.849,29.922
0,198.0,1683897694771555700,0.0,0,38.623,29.922
0,199.0,1683897695771847700,0.0,0,38.623,29.922
0,200.0,1683897696771961800,0.0,0,38.462,29.922
0,201.0,1683897697772417900,0.0,0,38.301,29.922
0,202.0,1683897698772725400,0.0,0,38.301,29.922
0,203.0,1683897699773321500,0.0,0,38.011,29.922
0,204.0,1683897700773780700,0.0,0,37.979,29.922
0,205.0,1683897701774771200,0.0,0,37.979,29.922
0,206.0,1683897702775097500,0.0,0,37.688,29.922
0,207.0,1683897703775409500,0.0,0,37.656,29.922
0,208.0,1683897704775815900,0.0,0,37.656,29.922
0,209.0,1683897705776308200,0.0,0,37.398,29.922
0,210.0,1683897706776834600,0.0,0,37.334,29.922
0,211.0,1683897707777802600,0.0,0,37.334,29.922
0,212.0,1683897708777841000,0.0,0,37.141,29.922
0,213.0,1683897709778219000,0.0,0,37.012,29.922
0,214.0,1683897710778735900,0.0,0,37.012,29.922
