table|_batch|_lorry|_time|_loading
0|1|24|2023-06-12T09:06:48.875170+00:00|1
0|4|19|2023-06-12T09:07:00.871334+00:00|0
0|1|12|2023-06-12T09:07:19.867773+00:00|1
0|4|23|2023-06-12T09:07:34.871200+00:00|0
0|1|24|2023-06-12T09:08:03.869512+00:00|1
0|4|19|2023-06-12T09:08:18.875031+00:00|0
0|1|12|2023-06-12T09:08:35.876314+00:00|1
0|4|23|2023-06-12T09:08:49.886067+00:00|0
0|1|24|2023-06-12T09:09:18.883370+00:00|1
0|4|19|2023-06-12T09:09:32.889915+00:00|0
0|1|12|2023-06-12T09:09:51.885106+00:00|1
0|4|23|2023-06-12T09:10:06.897555+00:00|0
0|4|24|2023-06-12T09:10:31.887022+00:00|0
0|4|19|2023-06-12T09:10:45.892453+00:00|0
0|4|12|2023-06-12T09:11:08.894734+00:00|0
0|4|23|2023-06-12T09:11:21.905160+00:00|0
0|4|24|2023-06-12T09:11:33.899133+00:00|0
0|1|19|2023-06-12T09:11:47.905472+00:00|1
0|4|12|2023-06-12T09:12:05.900308+00:00|0
0|4|23|2023-06-12T09:12:19.906467+00:00|0
0|4|24|2023-06-12T09:12:31.908996+00:00|0
0|4|19|2023-06-12T09:13:02.915203+00:00|0
0|4|12|2023-06-12T09:13:16.915629+00:00|0
0|-1|23|2023-06-12T09:13:29.914711+00:00|0
