#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,Assembly,Device,Location,Sensor,Signal,_field,_measurement,host,topic
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:20.928790682Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:53.744137785Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:06:54.78675407Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:05.55936987Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:06.619347923Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:24.636176259Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:25.684556616Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:39.608115278Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:07:40.658488903Z,0,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
,,0,2023-06-12T08:45:57.050414696Z,2023-06-12T09:45:57.050414696Z,2023-06-12T09:08:09.411619993Z,1,Conveyor,Conveyor,AFB,10B1,10B1,value,DS_SS23_TrayStates_B,XRMAINServer,9308/AFB/Conveyor/10B1
