table|location|hour|consumption
0|9306|0|65426.28999999998
1|9307|0|14234.09
2|9308|0|723519.0599999999
3|9306|1|68697.67999999998
4|9307|1|13695.079999999996
5|9308|1|749991.82
6|9306|2|68048.43
7|9307|2|14619.169999999996
8|9308|2|741464.06
9|9306|3|72934.14999999998
10|9307|3|13769.210000000001
11|9308|3|733970.8000000002
12|9306|4|61430.999999999985
13|9307|4|13832.389999999998
14|9308|4|772045.22
15|9306|5|61637.37999999998
16|9307|5|14493.220000000001
17|9308|5|749485.6099999998
18|9306|6|62849.87999999998
19|9307|6|14409.52
20|9308|6|747111.7500000001
21|9306|7|71302.51
22|9307|7|14844.439999999997
23|9308|7|731170.7600000001
24|9306|8|72155.00999999998
25|9307|8|27983.57
26|9308|8|752362.0099999999
27|9306|9|64425.17999999997
28|9307|9|28578.75
29|9308|9|754807.2899999999
30|9306|10|61946.95999999998
31|9307|10|40431.51999999998
32|9308|10|716629.18
33|9306|11|59908.44999999999
34|9307|11|69337.14
35|9308|11|717955.7599999998
36|9306|12|71359.96999999999
37|9307|12|149365.00999999998
38|9308|12|730463.2899999999
39|9306|13|64116.97999999995
40|9307|13|121060.60999999999
41|9308|13|714421.3199999998
42|9306|14|64187.709999999985
43|9307|14|94980.88999999998
44|9308|14|706854.7299999997
45|9306|15|61895.54999999998
46|9307|15|112854.44
47|9308|15|686037.9200000002
48|9306|16|65677.45999999999
49|9307|16|41771.149999999994
50|9308|16|732959.0699999998
51|9306|17|66419.58999999998
52|9307|17|36100.45999999999
53|9308|17|747885.79
54|9306|18|68582.59999999998
55|9307|18|31303.889999999992
56|9308|18|754034.2000000001
57|9306|19|65887.57999999997
58|9307|19|48474.87999999999
59|9308|19|728164.6799999998
60|9306|20|71636.95
61|9307|20|31308.419999999995
62|9308|20|730447.9499999998
63|9306|21|70772.31999999999
64|9307|21|31320.84
65|9308|21|731720.3500000001
66|9306|22|63865.919999999984
67|9307|22|35375.969999999994
68|9308|22|775446.8199999997
69|9306|23|62063.96999999999
70|9307|23|14581.570000000002
71|9308|23|1423424.0700000003
