table|_time|_value
0|2023-04-14T01:06:43.193802+00:00|158.8
0|2023-04-14T01:07:13.197678+00:00|160.64
0|2023-04-14T01:07:43.201431+00:00|159.69
0|2023-04-14T01:08:13.205127+00:00|159.42
0|2023-04-14T01:08:43.210426+00:00|162.18
0|2023-04-14T01:09:13.213040+00:00|158.92
0|2023-04-14T01:09:43.219359+00:00|157.45
0|2023-04-14T01:10:13.221001+00:00|159.45
0|2023-04-14T01:10:43.225446+00:00|158.28
0|2023-04-14T01:11:13.228977+00:00|159.31
0|2023-04-14T01:11:43.232364+00:00|159.3
0|2023-04-14T01:12:13.236225+00:00|159.69
0|2023-04-14T01:12:43.240166+00:00|158.1
0|2023-04-14T01:13:13.244228+00:00|158.42
0|2023-04-14T01:13:43.248257+00:00|159.23
0|2023-04-14T01:14:13.251618+00:00|160.73
0|2023-04-14T01:14:43.254974+00:00|160.11
0|2023-04-14T01:15:13.258358+00:00|161.52
0|2023-04-14T01:15:43.263478+00:00|160.65
0|2023-04-14T01:16:13.266382+00:00|160.07
0|2023-04-14T01:16:43.270424+00:00|157.78
0|2023-04-14T01:17:03.001558+00:00|170.1
0|2023-04-14T01:17:13.274358+00:00|170.75
0|2023-04-14T01:17:43.278174+00:00|171.96
0|2023-04-14T01:18:13.281648+00:00|170.39
0|2023-04-14T01:18:43.285861+00:00|168.82
0|2023-04-14T01:19:13.290703+00:00|168.31
0|2023-04-14T01:19:43.292671+00:00|166.09
0|2023-04-14T01:20:13.297077+00:00|165.56
0|2023-04-14T01:20:14.994584+00:00|159.97
0|2023-04-14T01:20:43.300498+00:00|159.91
0|2023-04-14T01:21:13.304482+00:00|156.5
0|2023-04-14T01:21:43.308289+00:00|159.23
0|2023-04-14T01:22:13.311820+00:00|160.5
0|2023-04-14T01:22:43.315457+00:00|160.64
0|2023-04-14T01:23:13.319296+00:00|158.33
0|2023-04-14T01:23:43.325321+00:00|158.05
0|2023-04-14T01:24:13.326873+00:00|158.35
0|2023-04-14T01:24:43.330379+00:00|158.66
0|2023-04-14T01:25:13.334691+00:00|158.67
0|2023-04-14T01:25:31.980695+00:00|169.41
0|2023-04-14T01:25:43.338194+00:00|169.49
0|2023-04-14T01:26:13.341994+00:00|168.12
0|2023-04-14T01:26:43.345653+00:00|168.02
0|2023-04-14T01:26:53.977327+00:00|158.89
0|2023-04-14T01:27:13.349421+00:00|157.53
0|2023-04-14T01:27:43.353381+00:00|157.35
0|2023-04-14T01:28:13.356988+00:00|158.64
0|2023-04-14T01:28:43.361171+00:00|159.12
0|2023-04-14T01:29:13.365205+00:00|161.66
0|2023-04-14T01:29:43.370496+00:00|159.61
0|2023-04-14T01:30:13.372431+00:00|159.25
0|2023-04-14T01:30:43.376255+00:00|159.05
0|2023-04-14T01:31:13.380322+00:00|158.02
0|2023-04-14T01:31:43.383733+00:00|159.5
0|2023-04-14T01:31:53.965620+00:00|169.28
0|2023-04-14T01:31:59.965788+00:00|160.42
0|2023-04-14T01:32:13.387654+00:00|158.72
0|2023-04-14T01:32:43.392151+00:00|160.11
0|2023-04-14T01:33:13.395624+00:00|159.0
0|2023-04-14T01:33:28.963947+00:00|170.01
0|2023-04-14T01:33:43.400821+00:00|172.6
0|2023-04-14T01:34:13.402900+00:00|169.89
0|2023-04-14T01:34:17.962257+00:00|159.48
0|2023-04-14T01:34:43.406761+00:00|158.24
0|2023-04-14T01:35:13.410370+00:00|158.16
0|2023-04-14T01:35:43.413729+00:00|159.59
0|2023-04-14T01:36:13.418710+00:00|160.53
0|2023-04-14T01:36:43.420744+00:00|159.5
0|2023-04-14T01:37:13.425759+00:00|160.18
0|2023-04-14T01:37:43.430206+00:00|160.0
0|2023-04-14T01:38:13.432777+00:00|164.07
0|2023-04-14T01:38:43.436608+00:00|162.46
0|2023-04-14T01:38:44.949252+00:00|169.23
0|2023-04-14T01:39:13.439844+00:00|163.38
0|2023-04-14T01:39:43.443663+00:00|162.79
0|2023-04-14T01:40:04.947124+00:00|160.3
0|2023-04-14T01:40:13.448170+00:00|162.82
0|2023-04-14T01:40:43.451301+00:00|162.74
0|2023-04-14T01:41:13.454499+00:00|156.56
0|2023-04-14T01:41:43.458481+00:00|158.11
0|2023-04-14T01:42:13.462350+00:00|157.58
0|2023-04-14T01:42:20.942077+00:00|169.96
0|2023-04-14T01:42:43.466244+00:00|172.97
0|2023-04-14T01:43:13.470200+00:00|170.87
0|2023-04-14T01:43:43.474313+00:00|169.51
0|2023-04-14T01:43:58.937683+00:00|160.32
0|2023-04-14T01:44:13.477967+00:00|158.5
0|2023-04-14T01:44:43.483591+00:00|158.89
0|2023-04-14T01:45:13.485837+00:00|159.31
0|2023-04-14T01:45:43.489329+00:00|158.55
0|2023-04-14T01:45:44.934689+00:00|172.22
0|2023-04-14T01:45:53.933477+00:00|162.59
0|2023-04-14T01:46:13.492785+00:00|159.58
0|2023-04-14T01:46:43.499219+00:00|158.47
0|2023-04-14T01:47:13.500299+00:00|160.91
0|2023-04-14T01:47:43.505461+00:00|160.08
0|2023-04-14T01:48:13.509208+00:00|157.62
0|2023-04-14T01:48:43.512715+00:00|157.7
0|2023-04-14T01:49:13.516830+00:00|159.22
0|2023-04-14T01:49:43.520398+00:00|158.36
0|2023-04-14T01:50:13.524396+00:00|158.86
0|2023-04-14T01:50:43.528093+00:00|161.41
0|2023-04-14T01:51:13.534082+00:00|160.93
0|2023-04-14T01:51:43.537334+00:00|160.15
0|2023-04-14T01:52:13.539856+00:00|159.08
0|2023-04-14T01:52:43.543963+00:00|157.98
0|2023-04-14T01:53:13.549144+00:00|158.83
0|2023-04-14T01:53:43.551122+00:00|161.71
0|2023-04-14T01:54:13.555506+00:00|160.46
0|2023-04-14T01:54:43.559613+00:00|159.89
0|2023-04-14T01:55:13.563263+00:00|158.59
0|2023-04-14T01:55:43.567713+00:00|158.49
0|2023-04-14T01:56:13.571489+00:00|157.16
0|2023-04-14T01:56:43.576735+00:00|158.16
0|2023-04-14T01:57:13.578931+00:00|159.14
0|2023-04-14T01:57:43.582441+00:00|159.34
0|2023-04-14T01:58:13.587015+00:00|158.73
0|2023-04-14T01:58:43.590525+00:00|157.44
0|2023-04-14T01:59:13.593767+00:00|162.13
0|2023-04-14T01:59:43.598141+00:00|158.95
0|2023-04-14T02:00:13.602844+00:00|158.75
0|2023-04-14T02:00:43.604810+00:00|159.72
0|2023-04-14T02:01:13.610343+00:00|161.44
0|2023-04-14T02:01:43.612861+00:00|159.16
0|2023-04-14T02:02:13.622457+00:00|158.18
0|2023-04-14T02:02:43.620220+00:00|157.61
0|2023-04-14T02:03:13.624181+00:00|157.82
0|2023-04-14T02:03:43.628179+00:00|158.19
0|2023-04-14T02:04:13.632212+00:00|158.72
0|2023-04-14T02:04:43.635381+00:00|160.83
0|2023-04-14T02:05:13.639491+00:00|160.13
0|2023-04-14T02:05:43.643366+00:00|157.98
0|2023-04-14T02:06:13.646948+00:00|157.93
0|2023-04-14T02:06:43.650971+00:00|157.67
0|2023-04-14T02:07:13.655090+00:00|158.02
0|2023-04-14T02:07:43.659854+00:00|159.67
0|2023-04-14T02:08:01.883114+00:00|171.54
0|2023-04-14T02:08:13.662351+00:00|173.92
0|2023-04-14T02:08:43.666096+00:00|173.99
0|2023-04-14T02:09:13.669069+00:00|170.05
0|2023-04-14T02:09:43.672694+00:00|165.6
0|2023-04-14T02:10:13.676635+00:00|166.34
0|2023-04-14T02:10:43.680623+00:00|167.36
0|2023-04-14T02:11:13.684545+00:00|165.5
0|2023-04-14T02:11:43.688657+00:00|167.34
0|2023-04-14T02:11:49.872839+00:00|163.33
0|2023-04-14T02:12:13.691884+00:00|167.38
0|2023-04-14T02:12:43.696092+00:00|165.85
0|2023-04-14T02:13:13.700094+00:00|164.84
0|2023-04-14T02:13:43.703902+00:00|163.18
0|2023-04-14T02:14:13.707526+00:00|165.99
0|2023-04-14T02:14:43.712376+00:00|164.17
0|2023-04-14T02:15:08.865201+00:00|155.25
0|2023-04-14T02:15:13.715186+00:00|158.05
0|2023-04-14T02:15:43.718799+00:00|158.47
0|2023-04-14T02:16:13.723539+00:00|158.95
0|2023-04-14T02:16:43.726473+00:00|156.94
0|2023-04-14T02:17:13.730138+00:00|158.07
0|2023-04-14T02:17:43.733788+00:00|157.04
0|2023-04-14T02:18:13.737900+00:00|158.38
0|2023-04-14T02:18:43.741489+00:00|159.37
0|2023-04-14T02:19:13.745140+00:00|159.77
0|2023-04-14T02:19:43.749172+00:00|159.63
0|2023-04-14T02:20:13.754636+00:00|159.77
0|2023-04-14T02:20:43.757239+00:00|159.47
0|2023-04-14T02:21:13.760436+00:00|158.73
0|2023-04-14T02:21:43.764313+00:00|159.63
0|2023-04-14T02:22:13.768148+00:00|159.05
0|2023-04-14T02:22:43.773470+00:00|162.36
0|2023-04-14T02:23:13.776776+00:00|159.45
0|2023-04-14T02:23:43.780788+00:00|158.41
0|2023-04-14T02:24:13.783817+00:00|158.75
0|2023-04-14T02:24:43.787805+00:00|157.36
0|2023-04-14T02:25:13.792362+00:00|158.83
0|2023-04-14T02:25:43.795121+00:00|161.76
0|2023-04-14T02:26:13.798246+00:00|159.66
0|2023-04-14T02:26:43.831868+00:00|161.05
0|2023-04-14T02:27:13.805947+00:00|159.16
0|2023-04-14T02:27:43.810438+00:00|159.37
0|2023-04-14T02:28:13.813741+00:00|159.05
0|2023-04-14T02:28:43.818358+00:00|160.43
0|2023-04-14T02:29:13.821863+00:00|160.27
0|2023-04-14T02:29:43.826569+00:00|162.13
0|2023-04-14T02:30:13.831097+00:00|160.02
0|2023-04-14T02:30:43.832935+00:00|161.89
0|2023-04-14T02:31:13.836661+00:00|158.61
0|2023-04-14T02:31:43.840107+00:00|158.58
0|2023-04-14T02:32:13.843913+00:00|158.04
0|2023-04-14T02:32:43.848083+00:00|158.72
0|2023-04-14T02:33:13.851410+00:00|158.98
0|2023-04-14T02:33:43.854921+00:00|159.58
0|2023-04-14T02:34:13.858850+00:00|161.26
0|2023-04-14T02:34:43.862785+00:00|159.48
0|2023-04-14T02:35:13.865972+00:00|161.78
0|2023-04-14T02:35:43.870765+00:00|160.26
0|2023-04-14T02:36:13.873480+00:00|158.44
0|2023-04-14T02:36:43.878743+00:00|160.13
0|2023-04-14T02:37:13.880954+00:00|159.89
0|2023-04-14T02:37:43.886110+00:00|160.16
0|2023-04-14T02:38:13.888701+00:00|161.01
0|2023-04-14T02:38:43.892004+00:00|162.46
0|2023-04-14T02:39:13.895777+00:00|159.85
0|2023-04-14T02:39:43.899645+00:00|158.55
0|2023-04-14T02:40:13.903350+00:00|158.75
0|2023-04-14T02:40:43.908563+00:00|162.9
0|2023-04-14T02:41:13.910667+00:00|161.39
0|2023-04-14T02:41:43.914393+00:00|162.1
0|2023-04-14T02:42:13.918165+00:00|159.22
0|2023-04-14T02:42:43.922332+00:00|160.91
0|2023-04-14T02:43:13.925386+00:00|162.34
0|2023-04-14T02:43:43.929280+00:00|160.0
0|2023-04-14T02:44:13.933125+00:00|160.96
0|2023-04-14T02:44:43.936814+00:00|159.8
0|2023-04-14T02:45:13.940378+00:00|158.86
0|2023-04-14T02:45:43.944918+00:00|157.44
0|2023-04-14T02:46:13.948214+00:00|158.7
0|2023-04-14T02:46:43.951633+00:00|158.36
0|2023-04-14T02:47:13.956059+00:00|158.24
0|2023-04-14T02:47:43.960028+00:00|163.24
0|2023-04-14T02:48:13.964161+00:00|160.7
0|2023-04-14T02:48:43.967201+00:00|161.84
0|2023-04-14T02:49:13.971012+00:00|159.75
0|2023-04-14T02:49:43.973988+00:00|159.16
0|2023-04-14T02:50:13.978700+00:00|159.34
0|2023-04-14T02:50:43.982993+00:00|159.06
0|2023-04-14T02:51:13.986679+00:00|160.29
0|2023-04-14T02:51:29.781024+00:00|163.54
0|2023-04-14T02:51:43.989794+00:00|161.62
0|2023-04-14T02:52:13.993596+00:00|160.83
0|2023-04-14T02:52:43.998864+00:00|158.25
0|2023-04-14T02:53:14.001260+00:00|159.16
0|2023-04-14T02:53:44.004686+00:00|159.63
0|2023-04-14T02:54:14.008264+00:00|158.7
0|2023-04-14T02:54:44.012070+00:00|159.33
0|2023-04-14T02:55:14.016800+00:00|160.35
0|2023-04-14T02:55:44.019473+00:00|161.55
0|2023-04-14T02:56:14.023543+00:00|160.15
0|2023-04-14T02:56:44.027058+00:00|158.84
