table|_time|batch|lorry|loading
0|2023-04-12T07:28:48.811838+00:00|4|5|1
0|2023-04-12T07:29:51.815342+00:00|4|5|1
0|2023-04-12T07:30:49.826900+00:00|4|5|1
0|2023-04-12T07:31:48.830494+00:00|4|5|1
0|2023-04-12T07:32:47.837812+00:00|4|5|1
0|2023-04-12T07:33:46.840169+00:00|4|5|1
0|2023-04-12T07:34:52.839006+00:00|4|5|1
0|2023-04-12T07:35:57.854537+00:00|4|5|1
0|2023-04-12T07:36:57.869590+00:00|4|5|1
0|2023-04-12T09:03:24.490151+00:00|4|5|1
0|2023-04-12T09:04:28.485980+00:00|4|5|1
0|2023-04-12T09:05:34.490298+00:00|4|5|1
0|2023-04-12T09:06:35.493482+00:00|4|5|1
0|2023-04-12T09:07:34.509251+00:00|4|5|1
0|2023-04-12T09:08:38.514685+00:00|4|5|1
1|2023-04-12T07:29:39.822375+00:00|4|10|1
1|2023-04-12T07:30:37.828365+00:00|4|10|1
1|2023-04-12T07:31:36.833236+00:00|4|10|1
1|2023-04-12T07:32:35.838154+00:00|4|10|1
1|2023-04-12T07:33:34.835348+00:00|4|10|1
1|2023-04-12T07:34:41.846651+00:00|4|10|1
1|2023-04-12T07:35:45.850195+00:00|4|10|1
1|2023-04-12T09:03:12.483304+00:00|4|10|1
1|2023-04-12T09:04:16.486771+00:00|4|10|1
1|2023-04-12T09:05:22.489836+00:00|4|10|1
1|2023-04-12T09:06:23.500164+00:00|4|10|1
1|2023-04-12T09:07:21.508518+00:00|4|10|1
1|2023-04-12T09:08:26.516473+00:00|2|10|0
2|2023-04-12T07:29:13.818675+00:00|4|12|1
2|2023-04-12T07:30:16.831035+00:00|4|12|1
2|2023-04-12T07:31:21.829917+00:00|4|12|1
2|2023-04-12T07:32:21.839061+00:00|4|12|1
2|2023-04-12T07:33:21.844047+00:00|4|12|1
2|2023-04-12T07:34:27.840726+00:00|4|12|1
2|2023-04-12T07:35:30.854446+00:00|4|12|1
2|2023-04-12T07:36:28.858775+00:00|8|12|0
2|2023-04-12T09:04:04.482739+00:00|4|12|1
2|2023-04-12T09:05:07.495618+00:00|4|12|1
2|2023-04-12T09:06:05.504280+00:00|4|12|1
2|2023-04-12T09:07:06.505986+00:00|4|12|1
2|2023-04-12T09:08:14.516315+00:00|4|12|1
3|2023-04-12T07:29:01.814784+00:00|4|20|1
3|2023-04-12T07:30:04.820468+00:00|4|20|1
3|2023-04-12T07:31:09.833615+00:00|4|20|1
3|2023-04-12T07:32:09.827685+00:00|4|20|1
3|2023-04-12T07:33:09.840303+00:00|4|20|1
3|2023-04-12T07:34:15.842327+00:00|4|20|1
3|2023-04-12T07:35:18.849344+00:00|4|20|1
3|2023-04-12T07:36:16.854050+00:00|4|20|1
3|2023-04-12T07:37:17.860032+00:00|8|20|0
3|2023-04-12T09:03:52.488793+00:00|4|20|1
3|2023-04-12T09:04:55.486009+00:00|4|20|1
3|2023-04-12T09:05:53.501694+00:00|4|20|1
3|2023-04-12T09:06:54.501148+00:00|4|20|1
3|2023-04-12T09:08:02.505900+00:00|4|20|1
3|2023-04-12T09:08:59.518179+00:00|-1|20|0
